,shop,link
0,足力健旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3287104402&rn=15af9a2c05c41e02e16322db60b4db63
1,建吉鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2262055331&rn=15af9a2c05c41e02e16322db60b4db63
2,人本鞋类旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=705657896&rn=15af9a2c05c41e02e16322db60b4db63
3,skechers官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=783329018&rn=15af9a2c05c41e02e16322db60b4db63
4,风林山火服饰专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=292589472&rn=15af9a2c05c41e02e16322db60b4db63
5,回力风林专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=435997545&rn=15af9a2c05c41e02e16322db60b4db63
6,Charles Keith官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=411832242&rn=15af9a2c05c41e02e16322db60b4db63
7,阿布号鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1784272295&rn=15af9a2c05c41e02e16322db60b4db63
8,回力梅西专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2128794607&rn=15af9a2c05c41e02e16322db60b4db63
9,回力萨莎专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2113517056&rn=15af9a2c05c41e02e16322db60b4db63
10,水平鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=749716436&rn=15af9a2c05c41e02e16322db60b4db63
11,奥古狮登旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=917148178&rn=15af9a2c05c41e02e16322db60b4db63
12,回力上世信石专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=729845323&rn=15af9a2c05c41e02e16322db60b4db63
13,相帅运动户外专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2086650378&rn=15af9a2c05c41e02e16322db60b4db63
14,superga旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3385525047&rn=15af9a2c05c41e02e16322db60b4db63
15,春腾鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2115388309&rn=15af9a2c05c41e02e16322db60b4db63
16,agsdon奥古狮登舍蒙专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1969906928&rn=15af9a2c05c41e02e16322db60b4db63
17,热风旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=106852162&rn=15af9a2c05c41e02e16322db60b4db63
18,josiny卓诗尼大门专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2178662615&rn=15af9a2c05c41e02e16322db60b4db63
19,涵妃鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1751011739&rn=15af9a2c05c41e02e16322db60b4db63
20,回力足酷专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1066483067&rn=76c27dd88d1c60627733aeb0a0fcc960
21,爱尚淘鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=751678950&rn=76c27dd88d1c60627733aeb0a0fcc960
22,回力旺耀专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=459706322&rn=76c27dd88d1c60627733aeb0a0fcc960
23,海鑫旺鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2066359014&rn=76c27dd88d1c60627733aeb0a0fcc960
24,古奇天伦鸿坤专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1127868986&rn=76c27dd88d1c60627733aeb0a0fcc960
25,playboy圣威专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2153475674&rn=76c27dd88d1c60627733aeb0a0fcc960
26,乐途鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1748054096&rn=76c27dd88d1c60627733aeb0a0fcc960
27,哥弟官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=728443962&rn=76c27dd88d1c60627733aeb0a0fcc960
28,创虎鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1755505883&rn=76c27dd88d1c60627733aeb0a0fcc960
29,古奇天伦乐维专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2210001003&rn=76c27dd88d1c60627733aeb0a0fcc960
30,ZARA官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2228361831&rn=76c27dd88d1c60627733aeb0a0fcc960
31,千里之行运动专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=912905517&rn=76c27dd88d1c60627733aeb0a0fcc960
32,正道鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1754336613&rn=76c27dd88d1c60627733aeb0a0fcc960
33,playboy名兔专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2132140070&rn=76c27dd88d1c60627733aeb0a0fcc960
34,荣祥宏为鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1675748123&rn=76c27dd88d1c60627733aeb0a0fcc960
35,百丽官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=167873659&rn=76c27dd88d1c60627733aeb0a0fcc960
36,回力昆联专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=710250246&rn=76c27dd88d1c60627733aeb0a0fcc960
37,古奇天伦霍普专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2158380160&rn=76c27dd88d1c60627733aeb0a0fcc960
38,keds旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2760112457&rn=76c27dd88d1c60627733aeb0a0fcc960
39,狼潮服饰专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1574525883&rn=76c27dd88d1c60627733aeb0a0fcc960
