,shop,link
0,天猫超市生鲜店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1910146537&rn=88507a1aef05278197b38920b5468406
1,王小二旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2939922051&rn=88507a1aef05278197b38920b5468406
2,玖原农珍旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2938564290&rn=88507a1aef05278197b38920b5468406
3,阿兴阿旺水果旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1674167657&rn=88507a1aef05278197b38920b5468406
4,天猫超市1小时达,https://store.taobao.com/shop/view_shop.htm?user_number_id=3235541504&rn=88507a1aef05278197b38920b5468406
5,弘展水果旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2650899415&rn=88507a1aef05278197b38920b5468406
6,卤城苹果旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3427511140&rn=88507a1aef05278197b38920b5468406
7,年贡园旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3327332398&rn=88507a1aef05278197b38920b5468406
8,一品乐旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3422075853&rn=88507a1aef05278197b38920b5468406
9,果利丰旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2921069832&rn=88507a1aef05278197b38920b5468406
10,易果生鲜旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1795616675&rn=88507a1aef05278197b38920b5468406
11,恋果绘旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3369454639&rn=88507a1aef05278197b38920b5468406
12,喜人喜食品旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2485762378&rn=88507a1aef05278197b38920b5468406
13,鲜菓篮旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2750154452&rn=88507a1aef05278197b38920b5468406
14,百润果汇水果专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2478322307&rn=88507a1aef05278197b38920b5468406
15,牛汁源旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2126971650&rn=88507a1aef05278197b38920b5468406
16,富岗食品旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2076835754&rn=88507a1aef05278197b38920b5468406
17,德果乐水果旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3256491291&rn=88507a1aef05278197b38920b5468406
18,国新玉露香旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3231675957&rn=88507a1aef05278197b38920b5468406
19,垛山旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2672858238&rn=88507a1aef05278197b38920b5468406
20,甜果爱旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3417122725&rn=b91a45bb475cc6be534a5c0c9a01eb95
21,博多客食品专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2056275262&rn=b91a45bb475cc6be534a5c0c9a01eb95
22,阿鲜旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3083182657&rn=b91a45bb475cc6be534a5c0c9a01eb95
23,生鲜猫水果旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3302035154&rn=b91a45bb475cc6be534a5c0c9a01eb95
24,我买购物网生鲜旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2317351191&rn=b91a45bb475cc6be534a5c0c9a01eb95
25,大土山旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2751617451&rn=b91a45bb475cc6be534a5c0c9a01eb95
26,天润绿源食品专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2002509750&rn=b91a45bb475cc6be534a5c0c9a01eb95
27,兴蓬农庄旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3171522546&rn=b91a45bb475cc6be534a5c0c9a01eb95
28,歌慕旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3206065077&rn=b91a45bb475cc6be534a5c0c9a01eb95
29,树懒果园旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2071159245&rn=b91a45bb475cc6be534a5c0c9a01eb95
30,甜嘴猴旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3031738673&rn=b91a45bb475cc6be534a5c0c9a01eb95
31,喵鲜生,https://store.taobao.com/shop/view_shop.htm?user_number_id=2653351646&rn=b91a45bb475cc6be534a5c0c9a01eb95
32,贡锦记旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3013311997&rn=b91a45bb475cc6be534a5c0c9a01eb95
33,果然酷旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3101343237&rn=b91a45bb475cc6be534a5c0c9a01eb95
34,农夫伙伴旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3347515661&rn=b91a45bb475cc6be534a5c0c9a01eb95
35,首味旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3340812890&rn=b91a45bb475cc6be534a5c0c9a01eb95
36,生鲜密语旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3546875024&rn=b91a45bb475cc6be534a5c0c9a01eb95
37,鲜然多旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3082633077&rn=b91a45bb475cc6be534a5c0c9a01eb95
38,雅诺达旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2924863391&rn=b91a45bb475cc6be534a5c0c9a01eb95
39,果源地旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3253319205&rn=b91a45bb475cc6be534a5c0c9a01eb95
