,shop,link
0,盛通名品男装专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2386890299&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
1,七匹狼立淘专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=387906558&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
2,恒源祥东岸专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1772214885&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
3,恒源祥达瑞专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2091237124&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
4,playboy度涵专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1851041537&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
5,恒源祥宾逸专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2183039790&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
6,playboy男装旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1610222843&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
7,playboy曼凡陀专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1777534635&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
8,playboy西罗专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2242175803&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
9,playboy商才通专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2101899623&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
10,playboy天尚专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2138820496&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
11,playboy英博专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1766124257&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
12,优衣库官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=196993935&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
13,花花公子唐本专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3166964603&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
14,致博服饰专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=711201215&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
15,playboy乐缘专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1099691863&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
16,名品折扣安安专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=191609058&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
17,playboy美迪雅专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2269753886&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
18,天然风服饰专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=828338578&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
19,playboy牛仔旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1678007656&rn=82f7d9b199a077ab581ebe2c2cf7c2eb
20,七匹狼康成专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=923679625&rn=e01ef6373d0e0927d88257c53ef33665
21,花花公子雪兔专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2010990484&rn=e01ef6373d0e0927d88257c53ef33665
22,恒品服饰专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2094524723&rn=e01ef6373d0e0927d88257c53ef33665
23,恒源祥微然专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=709098757&rn=e01ef6373d0e0927d88257c53ef33665
24,聚善服饰专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2088951789&rn=e01ef6373d0e0927d88257c53ef33665
25,恒源祥泓纳专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1825500693&rn=e01ef6373d0e0927d88257c53ef33665
26,playboy时代万货专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1745055043&rn=e01ef6373d0e0927d88257c53ef33665
27,playboy艾诚专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1923029750&rn=e01ef6373d0e0927d88257c53ef33665
28,playboy米兔专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2182971110&rn=e01ef6373d0e0927d88257c53ef33665
29,春雷鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=739707266&rn=e01ef6373d0e0927d88257c53ef33665
30,安琪服饰专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1045188092&rn=e01ef6373d0e0927d88257c53ef33665
31,格衫服饰专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1651570776&rn=e01ef6373d0e0927d88257c53ef33665
32,好乐买服饰专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=754757679&rn=e01ef6373d0e0927d88257c53ef33665
33,贵隆服饰专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1022333097&rn=e01ef6373d0e0927d88257c53ef33665
