,shop,link
0,骆驼服饰旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=379092709&rn=556df8207fc81ce107fb238200cd6104
1,足力健旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3287104402&rn=556df8207fc81ce107fb238200cd6104
2,NIKE官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=890482188&rn=556df8207fc81ce107fb238200cd6104
3,adidas官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=446338500&rn=556df8207fc81ce107fb238200cd6104
4,playboy奕皓专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2248351903&rn=556df8207fc81ce107fb238200cd6104
5,playboy崇冠专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2178543338&rn=556df8207fc81ce107fb238200cd6104
6,幸运叶子官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1993730769&rn=556df8207fc81ce107fb238200cd6104
7,建吉鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2262055331&rn=556df8207fc81ce107fb238200cd6104
8,花花公子服饰旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1664555011&rn=556df8207fc81ce107fb238200cd6104
9,奥康麦淘专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1610143783&rn=556df8207fc81ce107fb238200cd6104
10,顶津鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1712495474&rn=556df8207fc81ce107fb238200cd6104
11,尚动运动户外专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=392193281&rn=556df8207fc81ce107fb238200cd6104
12,显臣运动专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2148274655&rn=556df8207fc81ce107fb238200cd6104
13,回力宸斐专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=693108986&rn=556df8207fc81ce107fb238200cd6104
14,New Balance旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=520557274&rn=556df8207fc81ce107fb238200cd6104
15,回力风林专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=435997545&rn=556df8207fc81ce107fb238200cd6104
16,回力萨莎专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2113517056&rn=556df8207fc81ce107fb238200cd6104
17,红蜻蜓男鞋官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1132458131&rn=556df8207fc81ce107fb238200cd6104
18,风驰运动专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=772352677&rn=556df8207fc81ce107fb238200cd6104
19,君诚鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=760958465&rn=556df8207fc81ce107fb238200cd6104
20,开心购物运动专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=133227658&rn=c42febd20b96d38e3ac687db433ae7ca
21,playboy清婷专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2115538999&rn=c42febd20b96d38e3ac687db433ae7ca
22,奥康鞋业旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=240610147&rn=c42febd20b96d38e3ac687db433ae7ca
23,诚岭运动专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=559933948&rn=c42febd20b96d38e3ac687db433ae7ca
24,回力梅西专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2128794607&rn=c42febd20b96d38e3ac687db433ae7ca
25,anta安踏安志专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1688379534&rn=c42febd20b96d38e3ac687db433ae7ca
26,木林森男鞋旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1728293990&rn=c42febd20b96d38e3ac687db433ae7ca
27,亮动运动专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1847536456&rn=c42febd20b96d38e3ac687db433ae7ca
28,playboy即客专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2002078382&rn=c42febd20b96d38e3ac687db433ae7ca
29,微能量运动旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2566697133&rn=c42febd20b96d38e3ac687db433ae7ca
30,西柏源鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1705936591&rn=c42febd20b96d38e3ac687db433ae7ca
31,lining李宁畅跑专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2452489551&rn=c42febd20b96d38e3ac687db433ae7ca
32,奥康昊嘉专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2953909264&rn=c42febd20b96d38e3ac687db433ae7ca
33,徐氏运动专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=320868932&rn=c42febd20b96d38e3ac687db433ae7ca
34,炫动运动户外专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=612456912&rn=c42febd20b96d38e3ac687db433ae7ca
35,蜘蛛王恩伦专卖店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1992583839&rn=c42febd20b96d38e3ac687db433ae7ca
36,skechers运动旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2129855716&rn=c42febd20b96d38e3ac687db433ae7ca
37,蜘蛛王官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=135195108&rn=c42febd20b96d38e3ac687db433ae7ca
38,安踏官方网店,https://store.taobao.com/shop/view_shop.htm?user_number_id=385132127&rn=c42febd20b96d38e3ac687db433ae7ca
39,柏肯鞋类专营店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2133633577&rn=c42febd20b96d38e3ac687db433ae7ca
